Noms et Prénoms,Parti,Circonscription,Groupe Parlementaire,Commission,Fonction
ARIBOT Baidy,UFR,Député Uninominal Kaloum,Alliance Républicaine,Bureau de l’Assemblée,4ème secrétaire parlementaire
BAH Mamadou Salim,UPR,Liste nationale,RPG Arc-en-ciel,Bureau de l’Assemblée,4ème Vice-Président
BAH Alpha Ibrahima Sila,PGRP,Liste nationale,Alliance Républicaine,"Information, communication",Membre de Commission
BAH Mariama,UFDG,Liste nationale,Libéraux-démocrates,Aménagement du territoire et transports,Membre de Commission
BAH Mariama Taata,UFDG,Liste nationale,Libéraux-démocrates,Défense et sécurité,Membre de Commission
BAH Alpha Souleymane Fisher,PNR,Liste nationale,RPG Arc-en-ciel,Affaires étrangères et Guinéens de l’étranger,Membre de Commission
BAH Thierno kadiatou,RPG,Liste nationale,RPG Arc-en-ciel,Affaires étrangères et Guinéens de l’étranger,Membre de Commission
BAH Mohamed Aliou,UFDG,Député Uninominal Ratoma,Libéraux-démocrates,Mines et Industrie,Membre de Commission
BAH Assiatou Diallo,UFDG,Liste nationale,Libéraux-démocrates,"Information, communication",Membre de Commission
BALDE Aissatou Bobo,RPG,Liste nationale,RPG Arc-en-ciel,Environnement & ressources naturelles,1ère Vice-Présidente
BALDE Jamsedine,UFDG,Liste nationale,Libéraux-démocrates,"Affaires économiques, financières et du plan",Membre de Commission
BALDE Habib,GPT,Liste nationale,Non inscrit,Fonction publique,Membre de Commission
BALDE Mamadou Cellou,UFDG,Député Uninominal Labé,Libéraux-démocrates,Lois,Membre de Commission
BALDE Alpha Mamadou,UFDG,Député Uninominal Tougué,Libéraux-démocrates,Environnement & ressources naturelles,Rapporteur de Commission
BALDE Mamadou Alpha,UFDG,Député Uninominal Koubia,Libéraux-démocrates,Défense et sécurité,Membre de Commission
BANGOURA Ibrahima,UFR,Liste nationale,Alliance Républicaine,Contrôle et comptabilité,Vice-Président
BANGOURA Moussa,UFR,Liste nationale,Alliance Républicaine,Contrôle et comptabilité,Membre de Commission
BARRY Saikou Yaya,UFR,Liste nationale,Alliance Républicaine,"Information, communication, Arts et culture",Président de Commission
BARRY Aissatou,UFDG,Liste nationale,Libéraux-démocrates,"Santé, Éducation, Affaires sociales, Jeunesse",Membre de Commission
BARRY Thierno Abdourahmane,UFDG,Liste nationale,Libéraux-démocrates,"Affaires économiques, financières et du plan",Membre de Commission
CAMARA Amadou Damaro,RPG,Liste nationale,RPG Arc-en-ciel,Groupe parlementaire,Président du groupe Parlementaire
CAMARA Sékou,RPG,Liste nationale,RPG Arc-en-ciel,Environnement & ressources naturelles,Membre de Commission
CAMARA Sékou Benna,GUD,Liste nationale,RPG Arc-en-ciel,Environnement & ressources naturelles,Président de Commission
CAMARA Abdourahamane Sinkoun,RPG,Député Uninominal Coyah,RPG Arc-en-ciel,Mines et industrie,Président de Commission
CAMARA Daouda David,NGR,Liste nationale,RPG Arc-en-ciel,Bureau Assemblée nationale,Secrétaire parlementaire
CAMARA Djènè Saran,RPG,Liste nationale,RPG Arc-en-ciel,Défense et sécurité,Présidente de Commission
CAMARA Mamadouba Tawel,RPG,Liste nationale,RPG Arc-en-ciel,Défense et sécurité,Membre de Commission
CAMARA Fatoumata Boh,RPG,Liste nationale,RPG Arc-en-ciel,Bureau Assemblée nationale,2ème Questeur
CAMARA Moriba Gopou,RPG,Député Uninominal Yomou,RPG Arc-en-ciel,Lois,Membre de Commission
CAMARA Elhadj Momo II,RPG,Député Uninominal Dubréka,RPG Arc-en-ciel,"Information, communication",Membre de Commission
CAMARA Amara,RPG,Liste nationale,RPG Arc-en-ciel,Lois,Membre de Commission
CISSE Saloun,RPG,Liste nationale,RPG Arc-en-ciel,Bureau Assemblée nationale,1er Vice-Président
CISSE Sidiki,RPG,Député Uninominal Fria,RPG Arc-en-ciel,"Santé, Éducation, Affaires sociales, Jeunesse",1er Vice-Président
CISSOKO Fatoumata Tonguino,RPG,Députée Uninominale Dabola,RPG Arc-en-ciel,Bureau Assemblée nationale,2ème Secrétaire Parlementaire
CONDE Mamadou N’fa,RPG,Liste nationale,RPG Arc-en-ciel,Défense et sécurité,Membre de Commission
CONDE M. Aliou,UFDG,Liste nationale,Libéraux-démocrates,Aménagement du territoire et transports,Membre de Commission
CONDE Bandian Neiba,RPG,Liste nationale,RPG Arc-en-ciel,"Santé, Éducation, Affaires sociales, Jeunesse",Membre de Commission
CONDE Naby Nouhan,RPG,Liste nationale,RPG Arc-en-ciel,Défense et sécurité,Membre de Commission
CONDE N’vayanga,RPG,Député Uninominal Beyla,RPG Arc-en-ciel,Mines et industrie,Membre de Commission
CROS Eva,RPG,Députée Uninominale Mandiana,RPG Arc-en-ciel,Mines et industrie,Rapporteur de Commission
DAFFE Aissata,UFR,Liste nationale,Alliance Républicaine,Mines et industrie,Membre de Commission
