Nom,Age,Profession,Parti,Couleur,Photo
Ousmane Sonko,50,expert fiscal,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/4e1c3427-ae2d-4090-a5fb-8460f7ef8ac3?fit=cover&quality=50
Mbene Faye,43,agent de developpement communautaire,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/2b2ad8a8-95c3-4925-82fb-af696e21c23a?fit=cover&quality=50
Saliou Ndione,34,controleur des impots et domaines,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/7fbefea0-5c58-4de2-8bf5-30f6842eb6c7?fit=cover&quality=50
Marie Ang Mame Selbe Diouf,49,enseignant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/139b7ced-0262-49ed-8d01-f69205c43e59?fit=cover&quality=50
Alla Kane,88,retraite,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/b39fcc77-2786-451b-a699-a8af5e46c8ec?fit=cover&quality=50
Maimouna Bousso,45,commerçant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/b384fa21-6b74-4ce4-8fb7-0b8b0f0eb6de?fit=cover&quality=50
Oumar Sy,50,cadre aviation civile,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/ba526096-2c4b-4aea-9e1a-780929de9478?fit=cover&quality=50
Fama Ba,46,professeur,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/9c977419-e5a4-463c-8ca6-63a03432f89b?fit=cover&quality=50
Abdoulaye Tall,44,avocat,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/1c8e67c9-222f-4c79-a4b8-f1154ce8c538?fit=cover&quality=50
Jacqueline Sagna,50,transformatrice,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/1520dd3a-50fe-4862-a607-7627d971eb82?fit=cover&quality=50
Mohamed Sall,62,enseignant chercheur vacataire,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/d9c029e8-95d5-4250-a3f1-f1043319a290?fit=cover&quality=50
Amy Dia,55,ménagère,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/19ceaecb-830f-4253-adcf-950933fe0315?fit=cover&quality=50
Mouramani Kaba Diakite,51,opérateur économique,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/27669207-c7b7-4efa-90bd-f3f427ea2675?fit=cover&quality=50
Awa Sonko,39,enseignant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/d0572ddd-9bb5-4090-b6c4-1e1660d2e1dc?fit=cover&quality=50
Alioune Ndao,70,retraite,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/d418c75b-a0ef-4ae7-9125-f0d5b292351c?fit=cover&quality=50
Beatrice Germaine Tening Faye,34,enseignant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/bd611ffb-6b9c-4d00-ae1c-cb21dae35cb3?fit=cover&quality=50
Oumar Diop,44,opérateur économique,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/d73a00d8-c34e-4ad5-af1d-73d3c404ca87?fit=cover&quality=50
Awa Seck,45,commerçant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/51025106-d0bf-4992-a564-7bb57ff4baa6?fit=cover&quality=50
Babacar Varore,49,artisan,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/5f2b5e76-fa09-44c2-bda5-a8327f42adad?fit=cover&quality=50
Mareme Mbacke,53,chef d'entreprise,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/78c9ba1b-8804-4135-8103-83169f88b47d?fit=cover&quality=50
Mayabe Mbaye,68,agent d'assiette a la retraite,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/5891a913-b53c-4834-a1d3-20372d4e6717?fit=cover&quality=50
Ndeye Fatou Mane,52,enseignant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/dff3db7b-29c4-4917-8461-108647bbdf2c?fit=cover&quality=50
Bara Ndiaye,38,commerçant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/0fc260e4-2ac6-47c0-984d-c063648270b7?fit=cover&quality=50
Fatou Ngom,50,operatrice economique,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/a5a9f295-07dd-435e-be2c-1675d92ddb84?fit=cover&quality=50
Ousmane Thiouf,62,enseignant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/5ce75051-2ab9-4b7f-bda6-1b4c507b68ab?fit=cover&quality=50
Fatou Ba,44,operatrice economique,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/7129cc0f-6e83-403c-9b4d-9f96ab922cc2?fit=cover&quality=50
Assane Diop,50,enseignant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/920da263-6032-4c22-9f1e-9623765824e0?fit=cover&quality=50
Anta Dia,59,commerçant(e),PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/9a3dbba2-625b-4bd1-a80a-37bbb3acae0c?fit=cover&quality=50
Banta Wague,56,chef d'entreprise,PASTEF,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/20fcdeb3-54f1-4335-8de4-4ebbea61a304?fit=cover&quality=50
Abass Fall,58,enseignant(e),PASTEFDAKAR,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/e173f0e9-8abb-4082-a65f-0416958d66ad?fit=cover&quality=50
Mame Mariama Dary,43,logisticienne,PASTEFDAKAR,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/f559a1c2-9c04-4964-b05e-f3f128a1d629?fit=cover&quality=50
Elhadji Ababacar Tambedou,50,technicien genie civil,PASTEFDAKAR,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/88413c27-bf49-4810-9cde-92d5cea78b7e?fit=cover&quality=50
Marie Helene Ndofene Diouf,43,commerçant(e),PASTEFDAKAR,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/cf2ed8ed-1591-4294-864c-bbcc687c9132?fit=cover&quality=50
Elhadji Ousmane Fall,47,enseignant(e),PASTEFDAKAR,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/59fd8a03-cd2a-47b4-8e3c-21191622329f?fit=cover&quality=50
Ndack Thiam,56,commerçant(e),PASTEFDAKAR,"rgb(170, 47, 46)",https://cms.vie-publique.sn/assets/de990faf-2e4a-41d5-8458-2711bf77cb44?fit=cover&quality=50
