Nom,Circonscription,Parti,Photo URL
Abraão Aníbal Fernandes Barbosa Vicente,Santiago Norte,MPD,http://api.parlamento.cv/media/fotos/abraao-vicente-768x844.jpg
Adelaide Lopes De Brito,Maio,PAICV,http://api.parlamento.cv/media/fotos/perfil1.jpg
Adelsia de Jesus Mendes Almeida,Santiago Sul,PAICV,http://api.parlamento.cv/media/fotos/Adelsia Almeida.JPG
Ailton Jorge Silva Rodrigues,Sal,MPD,http://api.parlamento.cv/media/fotos/Ailton.jpg
Albertino Batista Mota,Santo Antão,PAICV,http://api.parlamento.cv/media/fotos/Albertino Mota.JPG
Alberto Alves,América,PAICV,http://api.parlamento.cv/media/fotos/ALberto Alves.jpg
Alberto Augusto de Mello Lima Filho,Santiago Sul,MPD,http://api.parlamento.cv/media/fotos/BETA 12 estudio.jpg
Alcides Monteiro De Pina,Santiago Sul,MPD,http://api.parlamento.cv/media/fotos/AlcidePina.jpg
Ana Paula Elias Curado da Moeda,Santiago Sul,PAICV,http://api.parlamento.cv/media/fotos/paulamoeda.jpg
Aniceto de Jesus Lopes Cardoso Barbosa,Sal,MPD,http://api.parlamento.cv/media/fotos/ANICETOBARBOSA.jpg
Anilda Ineida Monteiro Tavares,Santiago Norte,MPD,http://api.parlamento.cv/media/fotos/AnildaTavares.jpg
Antonieta de Nascimento Gonçalves Morreira,Santiago Sul,MPD,http://api.parlamento.cv/media/fotos/antonieta.jpg
Antonita Inês Vieira,Maio,MPD,http://api.parlamento.cv/media/fotos/antonita.jpg
António Alberto Mendes dos Santos Fernandes,Santiago Norte,PAICV,http://api.parlamento.cv/media/fotos/Foto Antonio Fernandes.jpg
António Delgado Monteiro,São Vicente,UCID,http://api.parlamento.cv/media/fotos/António Delgado Monteiro.jpeg
Austelino Tavares Correia,Santiago Norte,MPD,http://api.parlamento.cv/media/fotos/PAN-AUSTELINOC.jpg
Bertalino Borges Moreira,Santiago Sul,PAICV,http://api.parlamento.cv/media/fotos/BertalinoMoreira.jpg
