nom,sexe,date_de_naissance,region,ethnie,langue,religion,parti_politique
Abdul Rauf Tongym Tubazu,N/A,"Wednesday, 28th September, 1983",Bawku/ walewale,N/A,N/A,Musulman,National Democratic Congress (NDC)
Abdul Aziz Fatahiya,N/A,"Sunday, 21st March, 1982",SAVELUGU,N/A,N/A,Musulman,New Patriotic Party (NPP)
Abdul Kabiru Tiah Mahama,N/A,"Thursday, 1st September, 1988",Janga,N/A,N/A,Musulman,New Patriotic Party (NPP)
Abdul-Fatawu  Alhassan,N/A,"Thursday, 25th November, 1982",Yendi,N/A,N/A,Musulman,National Democratic Congress (NDC)
Abdul-Khaliq  Mohammed Sherif,N/A,"Monday, 30th April, 1984",Nanton,N/A,N/A,Musulman,National Democratic Congress (NDC)
Abdul-Rashid Hassan Pelpuo,N/A,"Tuesday, 5th May, 1964",Wa,N/A,N/A,Musulman,National Democratic Congress (NDC)
Abdul-Salam  Adams,N/A,"Monday, 16th December, 1985",New Edubiase,N/A,N/A,Musulman,National Democratic Congress (NDC)
Abed-Nego Lamangin Bandim,N/A,"Saturday, 12th February, 1977",Nakpanduri,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Abena  Osei-Asare,N/A,"Tuesday, 16th January, 1979",Anyinam,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Abla Dzifa  Gomashie,N/A,"Sunday, 25th July, 1965",Aflao,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Adama  Sulemana,N/A,"Monday, 6th March, 1978",Nsawkaw,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Adelaide  Ntim,N/A,"Thursday, 24th June, 1971",Nsuta- Ashanti,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Agnes Naa Momo Lartey,N/A,"Friday, 16th April, 1976",Nungua,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Ahmed  Ibrahim,N/A,"Monday, 6th May, 1974",Banda Ahenkro,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Akwasi  Konadu,N/A,"Sunday, 25th July, 1982",Paakoso,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Akwasi Gyamfi Onyina-Acheampong,N/A,"Sunday, 13th January, 1980","Abira, Ashanti",N/A,N/A,Chrétien,New Patriotic Party (NPP)
