nom,date_de_naissance,etat,district,parti_politique
 sanni  Abdulraheem,0000-01-01,Kogi,Ajaokuta,APC
Abass Adekunle Adigun,1970-06-28,Oyo,Ibadan North- East/South- East,PDP
Abbas  Tajudeen,1965-10-01,Kaduna,Zaria Federal Constituency,APC
Abdulhakeem Kamilu Ado,1994-01-07,Kano,Wudil/Garko,NNPP
Abdulkadir  Danbuya,0000-01-01,Sokoto,Isa-Sabon-Birni,APC
Abdulkadir  Rahis,1968-06-30,Borno,Maiduguri (Metropolitan),APC
Abdullahi  Dabai,0000-00-00,Katsina,Bakori/Danja,PDP
Abdullahi  Mamudu,1965-06-26,Niger,Agaie/Lapai,APC
Abdullahi  Sani,0000-01-01,Kano,Karaye/Rogo,NNPP
Abdullahi Idris Garba,1975-06-09,Niger,Kontagora/Wushishi/Mariga/Masheg,APC
Abdulmalik  Zubairu,0000-00-00,Zamfara,Bungudu/Maru,APC
Abdulmumin Ari Mohammed,1978-11-27,Nassarawa,Nasarawa/Toto,APC
Abdulraheem  Abdulmaleek,0000-00-00,Kogi,Adavi/Okehi,PDP
Abdulraheem Olatunji Olawuyi,1965-01-03,Kwara,Ekiti/Isin/Irepodun/Oke-ero,APC
Abiodun James Faleke,1959-12-25,Lagos,Ikeja,APC
Abiola Peter Makinde,1973-08-16,Ondo,Ondo East/Ondo West,APC
Abonsizibe Oforji Obuku,0000-01-01,Bayelsa,Yenagoa/Kolokuna/Opokuma,PDP
Abubakar Ahmad Mohammed,0000-01-01,Katsina,Funtua/Dandume,APC
Abubakar Hassan Fulata,1959-03-01,Jigawa,Birniwa/Guri/Kiri-Kasamma,APC
Abubakar Hassan Nalaraba,1976-07-17,Nassarawa,Awe/Doma/Keana,APC
Abubakar Kabir Abubakar,1981-10-02,Kano,Bichi,APC
Abubakar Sarki Dahiru,1969-02-05,Nassarawa,Lafia/Obi,SDP
Abubakar Yabo Umaru,1971-04-06,Sokoto,Shagari/Yabo,APC
Adamu  Hashimu,0001-01-01,Bauchi,Ningi/Warji,PDP
Adamu  Tanko,0000-00-00,Niger,Gurara/Suleja/Tafa,PDP
Adamu Ibrahim Gamawa,0001-01-01,Bauchi,Gamawa,APC
Adebayo Olusegun Balogun,1968-06-11,Lagos,Ibeju-Lekki,APC
Adeboye Paul Kalejaiye,1970-01-01,Lagos,Ajeromi-Ifelodun,APC
Adedeji Stanley Olajide,1964-10-02,Oyo,Ibadan North West/South West,PDP
Adefarati  Adegboyega,0000-01-01,Ondo,Akoko South East/South West,APC
Adelegbe Emmanuel Oluwatimehin,1962-03-05,Ondo,Owo/Ose,APC
Aderemi Abasi Oseni,0000-01-01,Oyo,Ibarapa East/Ido,APC
Adetola Kafilat Ogbara,0000-01-01,Lagos,Kosofe,APC
Adetunji Abidemi  Olusoji,1974-10-14,Osun,Odo-Otin/Ifelodun/Boripe,PDP
Adewale  Hameed,0000-00-00,Lagos,Agege,APC
Adewunmi Oriyomi Onanuga,1965-12-02,Ogun,Ikenne/Shagamu/Remo North,APC
Adeyemi Benjamin Olabinjo,0000-01-01,Lagos,Ifako-Ijaiye,APC
Adeyemi Taofeek Alli,1964-09-09,Lagos,Mushin I,APC
Afolabi Moruf Afuape,0000-01-01,Ogun,Abeokuta South,APC
Agah Avia Musa,1974-06-05,Plateau,Bassa/Jos North,PDP
Agbedi Yeitiemone Frederick,1960-02-20,Bayelsa,Sagbama/Ekeremor,PDP
Ahmad Abdullahi Kalambaina,1968-09-13,Sokoto,Kware/Wamakko,APC
Ahmadu Usman Jaha,1974-02-02,Borno,Damboa/Gwoza/Chibok,APC
Ahmed  Adam Saba,0000-01-01,Kwara,Edu/Moro/Patigi,APC
Ahmed  Aliyu,0000-00-00,Katsina,Musawa/Matazu,APC
Ahmed  Munir,1980-09-09,Kaduna,Lere,APC
Ahmed Doro Yusuf,0000-01-01,Katsina,Mani/Bindawa,APC
Ahmed Idris Wase,1964-06-01,Plateau,Wase,APC
Ajilo  Umar,0000-00-00,Kaduna,Makarfi/Kudan,PDP
Akanni Enitan Dolapo-badru,1953-01-30,Lagos,Lagos Island I,APC
Akeem Adeniyi Adeyemi,1976-08-12,Oyo,Afijio/Oyo East/Oyo West/ Atiba,APC
Akinola Adekunle Alabi,1977-03-31,Oyo,Ona-Ara/Egbeda,APC
Alex Egbona Egbona,0000-00-00,Cross River,Yakurr/Abi,PDP
Alhassan Ado Garba,1965-08-14,Kano,Tudun-Wada/Doguwa,APC
Ali  Isa,0000-00-00,Gombe,Balanga/Billiri,PDP
