nom,date_de_naissance,etat,district,parti_politique
Abba Patrick Moro,1958-07-03,Benue,Benue South,PDP
Abdul  Ningi,0000-00-00,Bauchi,Bauchi Central,PDP
Abdulaziz Abubakar Yari,1968-09-28,Zamfara,Zamfara West,APC
Adeniyi Ayodele Adegbonmire,0000-01-01,Ondo,Ondo Central,APC
Adeola Solomon Olamilekan,0001-01-01,Ogun,Ogun West,APC
Adetokunbo Abiru Mukhail,1964-03-25,Lagos,Lagos-East,APC
Afolabi  Salisu,0001-01-01,Ogun,Ogun Central,APC
Ahmad Ibrahim Lawan,1959-12-01,Yobe,Yobe North,APC
Akpoti-uduaghan  Natasha,1979-12-09,Kogi,Kogi Central,PDP
Aliyu Magatakarda Wamakko,1953-03-01,Sokoto,Sokoto North,APC
Allwell Heacho Onyesoh,1960-12-26,Rivers,Rivers East,PDP
Aminu  Abbas,0000-00-00,Adamawa,Adamawa Central,PDP
Anthony Siyako Yaro,0000-01-01,Gombe,Gombe South,PDP
Ashiru Oyelola Yisa,1955-06-14,Kwara,Kwara South,APC
Augustine Okwudiri  Akobundu,1956-03-10,Abia,Abia-Central,PDP
Babangida  Hussaini,0000-01-01,Jigawa,North West,APC
Barinada Barry Mpigi,1961-06-22,Rivers,Rivers South East,PDP
Bassey Aniekan Etim,0000-01-01,Akwa Ibom,Akwa Ibom North-East,PDP
Benson  Agadaga,0000-00-00,Bayelsa,Bayelsa East,PDP
Binos Dauda Yaroe,1955-01-01,Adamawa,Adamawa South,PDP
Buhari Abdulfatai Omotayo,0000-00-00,Oyo,Oyo North,APC
Danjuma Goje Mohammed,1952-04-10,Gombe,Gombe Central,APC
David  Jimkuta,0001-01-01,Taraba,Taraba South,APC
Enyinnaya Harcourt Abaribe,1955-03-01,Abia,Abia-South,APGA
Ezenwa Francis Onyewuchi,1968-04-02,Imo,Imo East,LP
Francis Adenigba Fadahunsi,1952-07-12,Osun,Osun East,PDP
Godiya  Akwashiki,1975-03-08,Nassarawa,Nasarawa North,SDP
Godswill Obot Akpabio,1962-12-09,Akwa Ibom,Akwa Ibom North-West,APC
Ibrahim  Dankwambo,0000-01-01,Gombe,Gombe North,PDP
Ibrahim  Jimoh,0000-01-01,Ondo,Ondo South,APC
Ibrahim Barau Jibrin,1959-01-01,Kano,Kano-North,APC
Ibrahim Mohammed Bomai,1960-02-10,Yobe,Yobe South,APC
Ifeanyi Patrick Ubah,1971-09-03,Anambra,Anambra South,YPP
Ikra  Aliyu Bilbis,0000-01-01,Zamfara,Zamfara Central,APC
Ipinsagba Emmanuel Olajide,0000-01-01,Ondo,Ondo North,APC
Ireti Heebah Kingibe,0000-01-01,Federal Capital Territory,FCT,LP
Ishaku Elisha cliff Abbo,1976-05-02,Adamawa,Adamawa North,APC
Jarigbe Agom Jarigbe,2022-08-31,Cross River,Cross River North,PDP
Jibrin  Isah,1960-02-28,Kogi,Kogi East,APC
Justus Olugbenga Daniel,1970-01-01,Ogun,Ogun East,APC
Kaka Shehu Lawan,0000-00-00,Borno,Borno Central,APC
Kelvin  Chukwu,0000-01-01,Enugu,Enugu East,LP
Lawal  Usman,1970-01-01,Kaduna,Kaduna Central,PDP
Mallam-madori Ahmed Abdulhamid,0000-01-01,Jigawa,North East,APC
Manu  Haruna,1973-08-23,Taraba,Taraba Central,PDP
Michael Opeyemi Bamidele,1963-07-29,Ekiti,Ekiti Central,APC
Mohammad Adamu Mainasara aliero,1957-01-01,Kebbi,Kebbi Central,PDP
Mohammed Ali Ndume,1959-11-20,Borno,Borno South,APC
Mohammed Sani Musa,1965-05-11,Niger,Niger East,APC
Mohammed Tahir Monguno,1966-02-12,Borno,Borno North,APC
Mustapha  Musa,1968-07-02,Yobe,Yobe East,APC
Nasiru  Sani zangon daura,1968-01-23,Katsina,Katsina North,APC
Ned  Munir Nwoko,1960-12-21,Delta,Delta North,PDP
Okechukwu  Ezea,0000-01-01,Enugu,Enugu North,LP
Olalere  Oyewumi,0001-01-01,Osun,Osun West,PDP
Oluwole Fadeyi Olubiyi,0000-01-01,Osun,Osun Central,PDP
Onawo Mohammed Ogoshi,0000-00-00,Nassarawa,Nasarawa South,PDP
Orji Uzor Kalu,1960-04-21,Abia,Abia-North,APC
Pam Mwadkon Dachungyang,1962-09-14,Plateau,Plateau North,ADP
Peter Ndalikali Jiya,0000-01-01,Niger,Niger South,PDP
Sadiq Suleiman Umar,1971-01-01,Kwara,Kwara North,APC
Samaila Dahuwa Kaila,0000-01-01,Bauchi,Bauchi North,PDP
Sani Abubakar Bello,0000-00-00,Niger,Niger North,APC
Seriake Henry Dickson,1966-01-28,Bayelsa,Bayelsa West,PDP
Shuaibu Isa Lau,1961-06-30,Taraba,Taraba North,PDP
Sunday  Katung,0000-00-00,Kaduna,Kaduna South,PDP
Sunday Steve Karimi,0000-00-00,Kogi,Kogi West,APC
Umar Shehu Buba,0000-01-01,Bauchi,Bauchi South,APC
Victor  Umeh,0000-01-01,Anambra,Anambra Central,LP
Wasiu Sanni Eshilokun,1961-03-24,Lagos,Lagos-Central,APC
Williams Eteng Jonah,0000-00-00,Cross River,Cross River Central,APC
Yahaya Abubakar Abdullahi,1952-01-01,Kebbi,Kebbi North,PDP
Yau Sahabi Alhaji,2022-08-31,Zamfara,Zamfara North,APC
