Nom,District,Région,Partis,Fonctions
Rtd. Hon. Segepoh Solomon Thomas,,,Indépendant,Speaker
Hon. Ibrahim Tawa Conteh,Western Area Urban,West,SLPP,Deputy Speaker
Hon. Dr. Umarr Paran Tarawally,,,Indépendant,Clerk
Hon. Emilia Lolloh Tongi,Kailahun,Eastern,SLPP,Member Of Parliament
Hon.  Ing Fallah Kenawah Tengbeh,Kailahun,Eastern,SLPP,Member Of Parliament
Hon. Hindolo Moiwo Gevao,Kailahun,Eastern,SLPP,Member Of Parliament
Hon.Sarty Banya,Kailahun,Eastern,SLPP,Member Of Parliament
Hon. Hawa Roselyn Siafa,Kailahun,Eastern,SLPP,Member Of Parliament
Hon. Quintin Salia-Konneh,Kailahun,Eastern,SLPP,Member Of Parliament
Hon. Wuyatta Bernadette Songa,Kailahun,Eastern,SLPP,Member Of Parliament
Hon. Musa Lahai,Kailahun,Eastern,SLPP,Member Of Parliament
Hon. Musa Peter Moigua,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Momoh Bockarie,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Rugiatu Tarawalli-Mussaffa,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Alice Kornya Sandy,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Juliana Aliematu Fatorma,Kenema,Eastern,SLPP,Member Of Parliament
Hon.  Brima Mansaray,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Mariama Ella Goba,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Matthew Sahr Nyuma,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Francis Amara Kaisamba,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Musa Fofanah,Kono,Eastern,SLPP,Member Of Parliament
Hon. Lucinda Fina Kellie,Kono,Eastern,APC,Member Of Parliament
Hon Tamba Kellie,Kono,Eastern,APC,Member Of Parliament
Hon. Momodu Sahr Koutu,Kono,Eastern,SLPP,Member Of Parliament
Hon. Rebecca Yei Kamara,Kono,Eastern,SLPP,Member Of Parliament
Hon. Saa Emerson Lamina,Kono,Eastern,SLPP,Member Of Parliament
Hon. John Charles Conteh,Bombali,North,APC,Member Of Parliament
Hon. Marie Kamara,Bombali,North,APC,Member Of Parliament
Hon. Peter Yamba Koroma,Bombali,North,APC,Member Of Parliament
Hon. Paul Samba Conteh,Bombali,North,APC,Member Of Parliament
Hon. Ibrahim Barrie,Bombali,North,APC,Member Of Parliament
Hon. Sallieu Osman Sesay,Bombali,North,APC,Member Of Parliament
Hon  Alpha Fode Madie Jabbie,Falaba,North,SLPP,Member Of Parliament
Hon. Mohamed Conteh,Falaba,North,APC,Member Of Parliament
Hon. Mohamed Alpha Jalloh,Falaba,North,APC,Member Of Parliament
Hon. Hamidu Holla Mansaray,Koinadugu,North,APC,Member Of Parliament
Hon. Hawa Conteh,Koinadugu,North,APC,Member Of Parliament
Hon. Daniel Brima Koroma,Koinadugu,North,APC,Member Of Parliament
Hon. Daniel Amadu Bangura,Tonkolili,North,APC,Member Of Parliament
Hon.  Aaron Aruna Koroma,Tonkolili,North,APC,Member Of Parliament
Hon. Aruna Papay Solomon Larkoh,Tonkolili,North,APC,Member Of Parliament
Hon. Jawah Sesay,Tonkolili,North,APC,Member Of Parliament
Hon. Alhaji Sorieba Turay,Tonkolili,North,APC,Member Of Parliament
Hon. Rugiatu Kamara,Tonkolili,North,APC,Member Of Parliament
Hon. Daniel Fornah,Tonkolili,North,APC,Member Of Parliament
Hon Mabinty Fornah,Tonkolili,North,APC,Member Of Parliament
Hon. Rosemarie Bangura,Tonkolili,North,APC,Member Of Parliament
Hon. Ernest Dura Koroma,Kambia,North West,APC,Member Of Parliament
Hon. Mohamed Sheridan  Kamara,Kambia,North West,APC,Member Of Parliament
Hon. Abdul Karim Kamara,Kambia,North West,APC,Member Of Parliament
Hon. Mabinty Alice  Taylor-Bangura,Kambia,North West,APC,Member Of Parliament
Hon. Mohamed Sheriff Kargbo,Karene,North West,APC,Member Of Parliament
Hon.  Cecilia Mabinty Bangura,Karene,North West,APC,Member Of Parliament
Hon. Mohamed Bangura,Karene,North West,APC,Member Of Parliament
Hon Alusine Bash Kamara,Karene,North West,APC,Member Of Parliament
Hon. Aminata Sesay,Port Loko,North West,APC,Member Of Parliament
Hon. Abdul Karim Kamara,Port Loko,North West,APC,Member Of Parliament
Hon. Memunatu Jalloh,Port Loko,North West,APC,Member Of Parliament
Hon. Ibrahim Aziz Bangura,Port Loko,North West,APC,Member Of Parliament
Hon. Abdul Latif Sesay,Port Loko,North West,APC,Member Of Parliament
Hon. Abdul Kargbo,Port Loko,North West,APC,Member Of Parliament
Hon. Bashiru Silikie,Bo,South,SLPP,Member Of Parliament
Hon. Yusuf Mackery,Bo,South,SLPP,Member Of Parliament
Hon. Christopher Keikura Vandy,Bo,South,SLPP,Member Of Parliament
Hon. Jibrila Sur Moijueh,Bonthe,South,SLPP,Member Of Parliament
Hon.  Fatmata Bintu Bockarie,Bonthe,South,SLPP,Member Of Parliament
Hon. Alice Jebbeh Kumabeh,Bonthe,South,SLPP,Member Of Parliament
Hon. Alpha Ben Mansaray,Moyamba,South,APC,Member Of Parliament
Hon. Veronica Kadie Sesay,Moyamba,South,SLPP,Member Of Parliament
Hon. Capt. (RTD) Sylvester Arnold Maxwell Boima,Moyamba,South,SLPP,Member Of Parliament
Hon. Mariama Munia Zombo,Pujehun,South,SLPP,Member Of Parliament
Hon. Dickson Momoh Rogers,Pujehun,South,SLPP,Member Of Parliament
Hon. Sidie Mohamed Tunis,Pujehun,South,SLPP,Member Of Parliament
Hon. Kemoko Conteh,Western Area Rural,West,APC,Member Of Parliament
Hon. John Sartty Kargbo,Western Area Rural,West,APC,Member Of Parliament
Hon. AbuBakarr Fofanah,Western Area Rural,West,APC,Member Of Parliament
Hon. Rugiatu Rosy Kanu,Western Area Urban,West,APC,Member Of Parliament
Hon. Dr. Unpha Sorie Gbassay Koroma,Western Area Urban,West,APC,Member Of Parliament
Hon. Alpha Amadu Bah,Western Area Urban,West,APC,Member Of Parliament
Hon. Mamoud Kamara,Western Area Urban,West,APC,Member Of Parliament
Hon. Osman Abdal Timbo,Western Area Urban,West,APC,Member Of Parliament
Hon. Haja Miatta Amara,Western Area Urban,West,APC,Member Of Parliament
Hon. Abdul Sulaiman Marray-Conteh,Western Area Urban,West,SLPP,Member Of Parliament
Hon. Mohamed Sheriff Rahman-Coker,Western Area Urban,West,SLPP,Member Of Parliament
Hon. Boston Munda,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Zinabu Bah,Western Area Rural,West,APC,Member Of Parliament
Hon. Margaret Feimata Johnson,Kailahun,Eastern,SLPP,Member Of Parliament
Hon. Idrissa Moiwai Dauda,Bonthe,South,SLPP,Member Of Parliament
Hon. Mariama Bangura,Western Area Urban,West,APC,Member Of Parliament
Hon. Abdulai Kamara,Western Area Urban,West,APC,Member Of Parliament
Hon. Adama Conteh,Western Area Urban,West,APC,Member Of Parliament
Hon. Racheal  Mariatu Sesay Pessima,Port Loko,North West,SLPP,Member Of Parliament
Hon. Alie Bayoh,Kenema,Eastern,SLPP,Member Of Parliament
Hon. Tom Issic Tucker,Kono,Eastern,APC,Member Of Parliament
Hon. Abdulai Karim Kanu,Port Loko,North West,SLPP,Member Of Parliament
Hon. Catherine Zainab Tarawally,Bombali,North,APC,Member Of Parliament
Hon. Mohamed Kanneh,Kailahun,Eastern,SLPP,Member Of Parliament
Hon. Tamba Simeon Johnny,Kono,Eastern,SLPP,Member Of Parliament
Hon. Sia Mahawa Habiama Tommy,Kono,Eastern,SLPP,Member Of Parliament
Hon. Komba Quee,Kono,Eastern,SLPP,Member Of Parliament
Hon. Mohamed Billoh Shaw,Falaba,North,SLPP,Member Of Parliament
